22,36,37
22,23,37
31,36,41
22,31,36
31,32,41
32,40,41
22,23,31
23,24,25
23,24,37
23,25,31
1,24,37
3,37,38
9,38,39
1,3,37
1,2,3
1,24,25
1,4,25
1,2,4
2,3,4
3,4,5
3,5,6
4,25,26
25,26,31
5,6,26
3,6,38
6,7,26
26,28,31
26,27,28
7,26,27
6,7,38
7,8,38
7,8,27
8,9,27
8,9,38
9,27,28
9,10,28
10,11,28
11,12,28
28,29,31
29,30,31
9,10,39
10,11,39
11,12,39
12,13,39
12,13,29
13,29,30
25,30,31
31,32,35
32,33,35
13,14,30
13,14,39
14,15,39
15,17,39
15,16,33
16,33,34
32,33,34
14,30,35
14,33,35
32,34,40
15,16,17
16,17,34
17,18,34
17,18,39
18,34,40
18,19,40
19,20,39
19,20,40
20,21,40
20,21,39
21,39,40
